ADM2_EN,Lat,Lon
Abra,17.563634240560976,120.8005867578736
Agusan del Norte,9.079435327356478,125.64085770211595
Agusan del Sur,8.581808433655821,125.63046977140905
Aklan,11.625794927976798,122.27680093886585
Albay,13.25504519221845,123.55293771837586
Antique,11.117416675526803,122.14516959566643
Apayao,18.087152391767095,121.19654508977607
Aurora,15.751449738404055,121.45924600620575
Basilan,6.579093055313304,122.12714902129706
Bataan,14.664560468202467,120.42880226740527
Batanes,20.762282517907728,121.8462226497745
Batangas,13.91473481140385,121.03723900487469
Benguet,16.55322012441537,120.7021474719704
Biliran,11.58414149497981,124.48566482928581
Bohol,9.880610839574123,124.20601609630504
Bukidnon,8.00533671906079,124.96975727996967
Bulacan,14.980931332234587,121.10499758492672
Cagayan,18.067461221078485,121.81353088218393
Camarines Norte,14.093572254178646,122.81686456536401
Camarines Sur,13.682089482520437,123.20606314457665
Camiguin,9.16849064596038,124.713431695566
Capiz,11.374265164486863,122.64207092037833
Catanduanes,13.808073753266942,124.27505513983425
Cavite,14.278103807464284,120.84726456304824
Cebu,10.349392924455294,123.78172314638545
City of Isabela (not a province),6.652965670770734,121.97727574598343
Cotabato (North Cotabato),7.181505506732715,125.03939318597278
Davao Occidental,6.093065913472423,125.62183757014373
Davao Oriental,7.1357390483876095,126.27638970206323
Davao de Oro (Compostela Valley),7.5342172174292115,126.08559867677559
Davao del Norte,7.609269397607929,125.62619229548531
Davao del Sur,6.998214893332606,125.37525569504122
Dinagat Islands,10.162176879484882,125.58749080663343
Eastern Samar,11.681113476640512,125.37816647494097
Guimaras,10.57973137832171,122.60884834615057
Ifugao,16.82662784405901,121.18126985398071
Ilocos Norte,18.218978947805343,120.7370226970981
Ilocos Sur,17.28780302526446,120.52965199697924
Iloilo,11.032954872227286,122.6155936475771
Isabela,16.989925506335837,122.01769372108977
Kalinga,17.432138093521903,121.31335999047879
La Union,16.56107784287053,120.41670656842798
Laguna,14.280728490894159,121.51162539281401
Lanao del Norte,8.014660078964383,123.93342328806195
Lanao del Sur,7.781932241782187,124.34970607886886
Leyte,10.872626169192689,124.86120966256851
Maguindanao del Norte,7.189736031288943,124.25431525211702
Maguindanao del Sur,6.8967949506559405,124.46916063337187
Marinduque,13.385004903156727,121.98298395916518
Masbate,12.160908017809403,123.74495738721947
Misamis Occidental,8.341147308528784,123.70574716479267
Misamis Oriental,8.626647747764887,124.98159035444569
Mountain Province,17.056934702706858,121.05571315110583
NCR,14.567941761140078,121.04004940509269
Negros Occidental,10.224037728464399,122.99925347080604
Negros Oriental,9.739025976120846,122.99479959550175
Northern Samar,12.362581475207211,124.81239929950772
Nueva Ecija,15.657419451766703,120.99266040135859
Nueva Vizcaya,16.25429921052984,121.11000921231145
Occidental Mindoro,12.87148528931618,121.01361699079334
Oriental Mindoro,12.86878845561337,121.36562087283666
Palawan,12.145441622863054,120.02789157112838
Pampanga,15.022789386556818,120.65644644261789
Pangasinan,16.009469174595733,120.33256045872464
Quezon,14.188732072030234,121.67039763605565
Quirino,16.28604256240984,121.67818005148595
Rizal,14.560277819269846,121.26914404220892
Romblon,12.386541740932344,122.58690274771202
Samar (Western Samar),11.711494604224084,125.1496011312592
Sarangani,6.029352910549302,124.65866762884451
Siquijor,9.197924500847531,123.55948620197485
Sorsogon,12.827566845069907,123.99788901169184
South Cotabato,6.314523243506118,124.7945510604466
Southern Leyte,10.30231228165834,125.1561804743571
Special Geographic Area,7.100886215625527,124.4898158287663
Sultan Kudarat,6.5015844324051315,124.31922873317109
Sulu,5.973590725160652,121.15602486760689
Surigao del Norte,9.575559596342606,125.57614302069479
Surigao del Sur,8.71051671117518,126.10140038296983
Tarlac,15.514350569942895,120.4617162518088
Tawi-Tawi,5.197831603636374,120.03370242376236
Zambales,15.306092762564575,120.1185702908414
Zamboanga Sibugay,7.693234670100869,122.93933428333463
Zamboanga del Norte,7.933645892329185,122.42724089065909
Zamboanga del Sur,7.814793459108577,123.25682345150895
